1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
23	-1.286291	-1.286291	0.000000	5200.116653	0.000868	0.000868	1.7	2.1
24	-1.326235	-1.326235	0.000000	5200.116653	0.001505	0.001505	1.7	2.1
25	-1.303208	-1.303208	0.000000	5200.116653	0.002003	0.002003	2.1	2.5
26	-1.343142	-1.343142	1.000000	4963.747714	0.000987	0.000987	1.9	2.4
27	-1.313685	-1.313685	0.068636	5183.176115	0.001445	0.001445	1.6	2.1
28	-1.311412	-1.311412	0.000000	5200.116653	0.000858	0.000858	1.6	2.1
29	-1.298038	-1.298038	0.000000	5200.116653	0.000872	0.000872	1.8	2.2
30	-1.292925	-1.292925	0.000000	5200.116653	0.000802	0.000802	1.6	2.1
31	-1.322664	-1.322664	0.000000	5200.116653	0.000858	0.000858	1.7	2.1
32	-1.296559	-1.296559	0.000000	5200.116653	0.001662	0.001662	1.9	2.4
33	-1.301378	-1.301378	0.000000	5200.116653	0.001560	0.001560	2.1	2.6
34	-1.299578	-1.299578	0.000000	5200.116653	0.001219	0.001219	1.7	2.1
35	-1.290725	-1.290725	1.000000	4963.747714	0.001467	0.001467	1.6	2.1
36	-1.327852	-1.327852	0.068635	5183.176349	0.001082	0.001082	1.6	2.1
37	-1.331288	-1.331288	1.068635	4948.310151	0.001656	0.001656	1.6	2.0
38	-1.347549	-1.347549	2.068635	4733.806337	0.000853	0.000853	1.6	2.1
39	-1.308046	-1.308046	1.137270	4932.968229	0.001969	0.001969	1.7	2.1
40	-1.320590	-1.320590	0.206009	5149.599369	0.001514	0.001514	2.0	2.5
41	-1.326961	-1.326961	0.000000	5200.116653	0.000929	0.000929	1.7	2.2
42	-1.299923	-1.299923	1.000000	4963.747714	0.000973	0.000973	1.6	2.1
43	-1.333409	-1.333409	0.068635	5183.176349	0.001525	0.001525	1.6	2.1
44	-1.325027	-1.325027	1.068635	4948.310161	0.001171	0.001171	1.6	2.0
45	-1.321164	-1.321164	0.137270	5166.346070	0.001486	0.001486	1.6	2.1
46	-1.312499	-1.312499	0.000000	5200.116653	0.001395	0.001395	1.7	2.1
47	-1.293970	-1.293970	0.000000	5200.116653	0.000876	0.000876	2.0	2.4
48	-1.330668	-1.330668	0.000000	5200.116653	0.001344	0.001344	1.8	2.3
49	-1.323440	-1.323440	0.000000	5200.116653	0.001739	0.001739	1.6	2.1
50	-1.331619	-1.331619	1.000000	4963.747714	0.001783	0.001783	1.7	2.1
51	-1.299357	-1.299357	0.068635	5183.176349	0.001038	0.001038	1.6	2.1
52	-1.323398	-1.323398	1.068635	4948.310151	0.001371	0.001371	1.6	2.1
53	-1.305527	-1.305527	0.137270	5166.346059	0.000962	0.000962	1.6	2.0
54	-1.304910	-1.304910	0.000000	5200.116653	0.000850	0.000850	1.8	2.2
55	-1.359678	-1.359678	0.000000	5200.116653	0.001000	0.001000	2.0	2.5
56	-1.340520	-1.340520	0.000000	5200.116653	0.001104	0.001104	1.8	2.3
57	-1.316597	-1.316597	0.000000	5200.116653	0.001470	0.001470	1.6	2.1
58	-1.317698	-1.317698	0.000000	5200.116653	0.001587	0.001587	1.7	2.1
59	-1.323675	-1.323675	0.000000	5200.116653	0.001424	0.001424	1.6	2.1
60	-1.306681	-1.306681	1.000000	4963.747714	0.001954	0.001954	1.7	2.1
61	-1.296210	-1.296210	0.068635	5183.176346	0.001639	0.001639	1.7	2.1
62	-1.346286	-1.346286	0.000000	5200.116653	0.000870	0.000870	2.0	2.5
63	-1.339763	-1.339763	0.141759	5165.248979	0.000741	0.000741	1.7	2.2
64	-1.325497	-1.325497	1.103666	4940.467887	0.001577	0.001577	1.6	2.0
65	-1.323224	-1.323224	0.172300	5157.798044	0.001356	0.001356	1.7	2.2
66	-1.349567	-1.349567	1.172297	4925.175322	0.000876	0.000876	1.6	2.1
67	-1.335442	-1.335442	2.172297	4712.629482	0.000742	0.000742	1.6	2.0
68	-1.339611	-1.339611	1.240953	4909.971606	0.001230	0.001230	1.7	2.1
69	-1.331863	-1.331863	1.528773	4847.243460	0.001206	0.001206	2.0	2.4
70	-1.313956	-1.313956	0.597409	5056.275440	0.002444	0.002444	2.0	2.4
71	-1.327271	-1.327271	1.597409	4832.520787	0.000963	0.000963	1.6	2.1
72	-1.305952	-1.305952	2.597409	4627.730609	0.001341	0.001341	1.6	2.0
73	-1.331477	-1.331477	1.666625	4817.763952	0.001284	0.001284	1.6	2.1
74	-1.327246	-1.327246	2.666625	4614.196104	0.002472	0.002472	1.6	2.1
75	-1.308951	-1.308951	1.735260	4803.219743	0.001037	0.001037	1.6	2.0
76	-1.328037	-1.328037	0.803895	5008.391877	0.001850	0.001850	1.6	2.1
77	-1.336245	-1.336245	1.803772	4788.788882	0.000753	0.000753	2.0	2.6
78	-1.355515	-1.355515	0.872407	4992.703854	0.001343	0.001343	1.7	2.1
79	-1.332287	-1.332287	0.000000	5200.116653	0.001337	0.001337	1.7	2.1
80	-1.334066	-1.334066	0.000000	5200.116653	0.001747	0.001747	1.6	2.0
81	-1.338396	-1.338396	0.000000	5200.116653	0.001190	0.001190	1.7	2.1
82	-1.334748	-1.334748	0.999983	4963.751521	0.001189	0.001189	1.7	2.1
83	-1.328513	-1.328513	0.082325	5179.810547	0.000961	0.000961	1.7	2.1
84	-1.324086	-1.324086	0.000000	5200.116653	0.001351	0.001351	2.1	2.6
85	-1.346838	-1.346838	0.332483	5119.068952	0.001308	0.001308	1.8	2.4
86	-1.331870	-1.331870	1.300857	4896.782719	0.000885	0.000885	1.7	2.1
87	-1.357398	-1.357398	2.300857	4686.628098	0.001549	0.001549	1.6	2.1
88	-1.317689	-1.317689	3.300811	4493.777928	0.000838	0.000838	1.7	2.1
89	-1.328677	-1.328677	4.300811	4316.163959	0.001165	0.001165	1.7	2.1
90	-1.330418	-1.330418	3.369446	4481.121537	0.001692	0.001692	1.6	2.1
91	-1.343099	-1.343099	2.438081	4659.189041	0.000760	0.000760	1.9	2.4
92	-1.320575	-1.320575	1.531026	4846.758850	0.001293	0.001293	1.9	2.4
93	-1.322694	-1.322694	0.634170	5047.683796	0.001334	0.001334	1.7	2.1
94	-1.355341	-1.355341	1.634170	4824.672138	0.000733	0.000733	1.6	2.1
95	-1.339485	-1.339485	0.702805	5031.720530	0.000746	0.000746	1.6	2.1
96	-1.351291	-1.351291	0.000000	5200.116653	0.001658	0.001658	1.6	2.0
97	-1.340644	-1.340644	0.000000	5200.116653	0.002992	0.002992	1.6	2.1
98	-1.349125	-1.349125	0.999998	4963.748204	0.000673	0.000673	1.7	2.1
99	-1.323665	-1.323665	0.068635	5183.176311	0.000699	0.000699	2.2	2.8
100	-1.342865	-1.342865	0.000000	5200.116653	0.001318	0.001318	2.0	2.5
101	-1.327569	-1.327569	0.000000	5200.116653	0.000883	0.000883	2.0	2.5
102	-1.340182	-1.340182	0.999999	4963.747899	0.000751	0.000751	1.9	2.4
103	-1.344821	-1.344821	0.068650	5183.172607	0.001326	0.001326	2.1	2.6
104	-1.345629	-1.345629	0.000000	5200.116653	0.002024	0.002024	2.3	2.8
105	-1.344200	-1.344200	1.000000	4963.747714	0.000770	0.000770	3.0	3.7
106	-1.347091	-1.347091	1.022978	4958.568671	0.001718	0.001718	2.1	2.7
107	-1.356401	-1.356401	0.092940	5177.203927	0.001055	0.001055	2.0	2.4
108	-1.345420	-1.345420	1.092940	4942.866441	0.000960	0.000960	2.6	3.2
109	-1.359501	-1.359501	0.161577	5160.411740	0.000880	0.000880	8.6	9.4
110	-1.351455	-1.351455	0.000000	5200.116653	0.001633	0.001633	5.2	5.9
111	-1.358736	-1.358736	0.000000	5200.116653	0.000717	0.000717	6.2	6.8
112	-1.335201	-1.335201	0.000000	5200.116653	0.001884	0.001884	2.7	3.2
113	-1.341936	-1.341936	0.000000	5200.116653	0.001035	0.001035	2.0	2.5
114	-1.330377	-1.330377	0.000000	5200.116653	0.001836	0.001836	2.5	3.1
115	-1.328383	-1.328383	0.000000	5200.116653	0.002548	0.002548	3.7	4.6
116	-1.340188	-1.340188	0.000000	5200.116653	0.001043	0.001043	2.1	2.6
117	-1.351387	-1.351387	0.000000	5200.116653	0.001802	0.001802	1.6	2.1
118	-1.330071	-1.330071	0.000000	5200.116653	0.001324	0.001324	1.7	2.2
119	-1.319934	-1.319934	1.000000	4963.747714	0.000821	0.000821	1.7	2.1
120	-1.356718	-1.356718	0.069529	5182.956450	0.001075	0.001075	1.8	2.2
121	-1.355938	-1.355938	0.250569	5138.801286	0.000939	0.000939	1.7	2.1
122	-1.326742	-1.326742	0.000000	5200.116653	0.001525	0.001525	1.7	2.2
123	-1.371198	-1.371198	0.968965	4970.759970	0.000781	0.000781	2.0	2.5
124	-1.355689	-1.355689	0.140219	5165.625183	0.001263	0.001263	1.6	2.1
125	-1.329775	-1.329775	0.000000	5200.116653	0.000961	0.000961	1.7	2.1
126	-1.328665	-1.328665	0.958058	4973.228864	0.001234	0.001234	1.7	2.1
127	-1.339823	-1.339823	1.958058	4756.606535	0.000702	0.000702	1.6	2.1
128	-1.346737	-1.346737	1.057710	4950.760867	0.001031	0.001031	1.6	2.0
129	-1.335523	-1.335523	0.126370	5169.011534	0.000734	0.000734	1.6	2.0
130	-1.341423	-1.341423	0.000000	5200.116653	0.001929	0.001929	2.1	2.6
131	-1.353675	-1.353675	0.000000	5200.116653	0.001360	0.001360	1.7	2.2
132	-1.318031	-1.318031	0.000000	5200.116653	0.001724	0.001724	1.6	2.1
133	-1.349812	-1.349812	0.000000	5200.116653	0.001001	0.001001	1.7	2.1
134	-1.364861	-1.364861	0.000000	5200.116653	0.001106	0.001106	1.7	2.1
135	-1.341970	-1.341970	0.000000	5200.116653	0.000945	0.000945	1.6	2.0
136	-1.351469	-1.351469	1.000000	4963.747714	0.002320	0.002320	1.7	2.1
137	-1.326386	-1.326386	0.068635	5183.176349	0.000729	0.000729	2.0	2.4
138	-1.326470	-1.326470	0.000000	5200.116653	0.001344	0.001344	1.9	2.4
139	-1.348068	-1.348068	0.000000	5200.116653	0.000846	0.000846	1.6	2.0
140	-1.343342	-1.343342	0.000000	5200.116653	0.001398	0.001398	1.6	2.0
141	-1.359903	-1.359903	0.000000	5200.116653	0.001308	0.001308	1.7	2.1
142	-1.351942	-1.351942	1.000000	4963.747714	0.000656	0.000656	1.6	2.1
143	-1.338422	-1.338422	1.702462	4810.158845	0.000824	0.000824	1.6	2.1
144	-1.344020	-1.344020	0.771641	5015.811616	0.001250	0.001250	1.7	2.1
145	-1.367100	-1.367100	0.000000	5200.116653	0.001515	0.001515	2.0	2.5
146	-1.344457	-1.344457	1.000000	4963.747714	0.000748	0.000748	1.7	2.2
147	-1.370202	-1.370202	0.089519	5178.043722	0.001078	0.001078	1.7	2.1
148	-1.356384	-1.356384	0.000000	5200.116653	0.002797	0.002797	1.7	2.1
149	-1.354315	-1.354315	0.000000	5200.116653	0.000722	0.000722	1.6	2.1
150	-1.362230	-1.362230	1.000000	4963.747714	0.001219	0.001219	1.6	2.1
151	-1.357147	-1.357147	0.069436	5182.979315	0.001076	0.001076	1.7	2.1
152	-1.345975	-1.345975	0.000000	5200.116653	0.001288	0.001288	2.0	2.4
153	-1.336803	-1.336803	0.000000	5200.116653	0.000770	0.000770	1.8	2.4
154	-1.339062	-1.339062	0.000000	5200.116653	0.000766	0.000766	1.6	2.1
155	-1.343522	-1.343522	0.000000	5200.116653	0.001753	0.001753	1.9	2.3
156	-1.337204	-1.337204	0.000000	5200.116653	0.000667	0.000667	1.7	2.1
157	-1.353842	-1.353842	0.000000	5200.116653	0.001953	0.001953	1.6	2.0
158	-1.349715	-1.349715	0.000000	5200.116653	0.001538	0.001538	1.6	2.0
159	-1.322513	-1.322513	1.000000	4963.747714	0.000703	0.000703	2.0	2.5
160	-1.345668	-1.345668	0.082506	5179.766032	0.001452	0.001452	2.4	2.9
161	-1.338606	-1.338606	0.000000	5200.116653	0.000707	0.000707	2.1	2.6
162	-1.367551	-1.367551	0.000000	5200.116653	0.000733	0.000733	2.1	2.6
163	-1.351920	-1.351920	0.000000	5200.116653	0.000725	0.000725	1.8	2.3
164	-1.356429	-1.356429	0.000000	5200.116653	0.001264	0.001264	1.6	2.0
165	-1.350675	-1.350675	0.000000	5200.116653	0.001109	0.001109	1.9	2.4
166	-1.346677	-1.346677	1.000000	4963.747714	0.002095	0.002095	2.6	3.1
167	-1.360703	-1.360703	0.068635	5183.176349	0.000894	0.000894	2.3	2.8
168	-1.348325	-1.348325	1.068493	4948.342051	0.000696	0.000696	1.8	2.3
169	-1.348131	-1.348131	0.137377	5166.319736	0.001427	0.001427	1.7	2.1
170	-1.368328	-1.368328	0.000000	5200.116653	0.001415	0.001415	1.9	2.4
171	-1.365457	-1.365457	0.000000	5200.116653	0.000690	0.000690	1.7	2.2
172	-1.378182	-1.378182	0.000000	5200.116653	0.001383	0.001383	1.9	2.4
173	-1.360198	-1.360198	0.000000	5200.116653	0.001516	0.001516	2.5	3.0
174	-1.351186	-1.351186	0.000000	5200.116653	0.001538	0.001538	2.4	2.9
175	-1.355704	-1.355704	0.000000	5200.116653	0.000869	0.000869	1.8	2.2
176	-1.360144	-1.360144	0.000000	5200.116653	0.001533	0.001533	1.7	2.1
177	-1.374484	-1.374484	0.000000	5200.116653	0.001444	0.001444	1.9	2.4
178	-1.363957	-1.363957	0.000000	5200.116653	0.000796	0.000796	2.0	2.6
179	-1.366586	-1.366586	0.000000	5200.116653	0.001346	0.001346	2.9	3.7
180	-1.359285	-1.359285	0.000000	5200.116653	0.002083	0.002083	2.5	3.1
181	-1.355785	-1.355785	0.999925	4963.764709	0.001193	0.001193	1.9	2.4
182	-1.364496	-1.364496	1.990751	4749.842711	0.001017	0.001017	1.7	2.1
183	-1.358859	-1.358859	2.655309	4616.403435	0.000720	0.000720	1.7	2.1
184	-1.368428	-1.368428	1.740273	4802.160885	0.001257	0.001257	1.6	2.1
185	-1.380661	-1.380661	0.808908	5007.240599	0.000774	0.000774	2.4	2.9
186	-1.394070	-1.394070	0.000000	5200.116653	0.000673	0.000673	2.4	2.9
187	-1.335164	-1.335164	0.000000	5200.116653	0.000692	0.000692	2.0	2.5
188	-1.364422	-1.364422	0.000000	5200.116653	0.001567	0.001567	1.7	2.2
189	-1.358362	-1.358362	0.000000	5200.116653	0.000699	0.000699	1.6	2.1
190	-1.369829	-1.369829	0.000000	5200.116653	0.000888	0.000888	1.6	2.1
191	-1.381802	-1.381802	0.000000	5200.116653	0.000806	0.000806	2.0	2.4
192	-1.365276	-1.365276	0.000000	5200.116653	0.000726	0.000726	2.4	2.9
193	-1.365445	-1.365445	0.000000	5200.116653	0.000696	0.000696	2.3	2.8
194	-1.339173	-1.339173	0.000000	5200.116653	0.000665	0.000665	1.8	2.3
195	-1.363486	-1.363486	0.000000	5200.116653	0.000726	0.000726	1.6	2.1
196	-1.376895	-1.376895	0.000000	5200.116653	0.001217	0.001217	1.7	2.1
197	-1.407578	-1.407578	0.000000	5200.116653	0.000833	0.000833	1.8	2.2
198	-1.340861	-1.340861	0.000000	5200.116653	0.001552	0.001552	2.5	2.9
199	-1.347587	-1.347587	0.525484	5073.170560	0.001333	0.001333	2.2	3.0
